period,SSP1-1.9 (14),SSP1-2.6 (41),SSP2-4.5 (42),SSP3-7.0 (35),SSP5-8.5 (44)
2021-2040,1.53,1.61,1.64,1.6,1.73
2041-2060,1.67,1.95,2.19,2.31,2.63
2081-2100,1.53,2.06,3.01,4.04,4.99
2016-2035,1.42,1.48,1.49,1.44,1.54
2046-2065,1.67,1.99,2.33,2.51,2.88
2011-2020,1.13,1.18,1.19,1.15,1.19
2021-2030,1.43,1.5,1.5,1.44,1.54
2031-2040,1.63,1.72,1.78,1.77,1.92
2041-2050,1.69,1.9,2.05,2.11,2.38
2051-2060,1.66,1.99,2.34,2.51,2.88
2061-2070,1.64,2.05,2.54,2.92,3.43
2071-2080,1.6,2.08,2.76,3.35,4.02
2081-2090,1.57,2.07,2.94,3.82,4.67
2091-2100,1.5,2.04,3.08,4.27,5.31
