model,ens,exp,postprocess,table,varn,period,mean
BNU-ESM,r1i1p1,rcp26,global_mean,Amon,tas,1850-1900,286.06
CCSM4,r1i1p1,rcp26,global_mean,Amon,tas,1850-1900,286.44
CESM1-CAM5,r1i1p1,rcp26,global_mean,Amon,tas,1850-1900,286.23
CNRM-CM5,r1i1p1,rcp26,global_mean,Amon,tas,1850-1900,286.47
CSIRO-Mk3-6-0,r1i1p1,rcp26,global_mean,Amon,tas,1850-1900,285.85
CanESM2,r1i1p1,rcp26,global_mean,Amon,tas,1850-1900,286.81
EC-EARTH,r8i1p1,rcp26,global_mean,Amon,tas,1850-1900,285.57
FGOALS-g2,r1i1p1,rcp26,global_mean,Amon,tas,1850-1900,285.34
FIO-ESM,r1i1p1,rcp26,global_mean,Amon,tas,1850-1900,286.44
GISS-E2-H,r1i1p1,rcp26,global_mean,Amon,tas,1850-1900,287.90
GISS-E2-R,r1i1p1,rcp26,global_mean,Amon,tas,1850-1900,287.50
IPSL-CM5A-LR,r1i1p1,rcp26,global_mean,Amon,tas,1850-1900,285.24
IPSL-CM5A-MR,r1i1p1,rcp26,global_mean,Amon,tas,1850-1900,286.19
MIROC5,r1i1p1,rcp26,global_mean,Amon,tas,1850-1900,287.69
MPI-ESM-LR,r1i1p1,rcp26,global_mean,Amon,tas,1850-1900,286.56
MPI-ESM-MR,r1i1p1,rcp26,global_mean,Amon,tas,1850-1900,286.78
MRI-CGCM3,r1i1p1,rcp26,global_mean,Amon,tas,1850-1900,286.72
NorESM1-ME,r1i1p1,rcp26,global_mean,Amon,tas,1850-1900,285.90
NorESM1-M,r1i1p1,rcp26,global_mean,Amon,tas,1850-1900,286.28
bcc-csm1-1-m,r1i1p1,rcp26,global_mean,Amon,tas,1850-1900,287.51
bcc-csm1-1,r1i1p1,rcp26,global_mean,Amon,tas,1850-1900,286.93
ACCESS1-0,r1i1p1,rcp45,global_mean,Amon,tas,1850-1900,286.78
ACCESS1-3,r1i1p1,rcp45,global_mean,Amon,tas,1850-1900,287.13
BNU-ESM,r1i1p1,rcp45,global_mean,Amon,tas,1850-1900,286.06
CCSM4,r1i1p1,rcp45,global_mean,Amon,tas,1850-1900,286.44
CESM1-BGC,r1i1p1,rcp45,global_mean,Amon,tas,1850-1900,286.59
CESM1-CAM5,r1i1p1,rcp45,global_mean,Amon,tas,1850-1900,286.23
CMCC-CMS,r1i1p1,rcp45,global_mean,Amon,tas,1850-1900,287.00
CMCC-CM,r1i1p1,rcp45,global_mean,Amon,tas,1850-1900,286.53
CNRM-CM5,r1i1p1,rcp45,global_mean,Amon,tas,1850-1900,286.47
CSIRO-Mk3-6-0,r1i1p1,rcp45,global_mean,Amon,tas,1850-1900,285.85
CanESM2,r1i1p1,rcp45,global_mean,Amon,tas,1850-1900,286.81
EC-EARTH,r1i1p1,rcp45,global_mean,Amon,tas,1850-1900,285.62
FGOALS-g2,r1i1p1,rcp45,global_mean,Amon,tas,1850-1900,285.34
FIO-ESM,r1i1p1,rcp45,global_mean,Amon,tas,1850-1900,286.44
GISS-E2-H-CC,r1i1p1,rcp45,global_mean,Amon,tas,1850-1900,287.39
GISS-E2-H,r1i1p1,rcp45,global_mean,Amon,tas,1850-1900,287.90
GISS-E2-R-CC,r1i1p1,rcp45,global_mean,Amon,tas,1850-1900,287.44
GISS-E2-R,r1i1p1,rcp45,global_mean,Amon,tas,1850-1900,287.50
IPSL-CM5A-LR,r1i1p1,rcp45,global_mean,Amon,tas,1850-1900,285.24
IPSL-CM5A-MR,r1i1p1,rcp45,global_mean,Amon,tas,1850-1900,286.19
IPSL-CM5B-LR,r1i1p1,rcp45,global_mean,Amon,tas,1850-1900,285.94
MIROC5,r1i1p1,rcp45,global_mean,Amon,tas,1850-1900,287.69
MPI-ESM-LR,r1i1p1,rcp45,global_mean,Amon,tas,1850-1900,286.56
MPI-ESM-MR,r1i1p1,rcp45,global_mean,Amon,tas,1850-1900,286.78
MRI-CGCM3,r1i1p1,rcp45,global_mean,Amon,tas,1850-1900,286.72
NorESM1-ME,r1i1p1,rcp45,global_mean,Amon,tas,1850-1900,285.90
NorESM1-M,r1i1p1,rcp45,global_mean,Amon,tas,1850-1900,286.28
bcc-csm1-1-m,r1i1p1,rcp45,global_mean,Amon,tas,1850-1900,287.51
bcc-csm1-1,r1i1p1,rcp45,global_mean,Amon,tas,1850-1900,286.93
inmcm4,r1i1p1,rcp45,global_mean,Amon,tas,1850-1900,286.33
CCSM4,r1i1p1,rcp60,global_mean,Amon,tas,1850-1900,286.44
CESM1-CAM5,r1i1p1,rcp60,global_mean,Amon,tas,1850-1900,286.23
CSIRO-Mk3-6-0,r1i1p1,rcp60,global_mean,Amon,tas,1850-1900,285.85
FIO-ESM,r1i1p1,rcp60,global_mean,Amon,tas,1850-1900,286.44
GISS-E2-H,r1i1p1,rcp60,global_mean,Amon,tas,1850-1900,287.90
GISS-E2-R,r1i1p1,rcp60,global_mean,Amon,tas,1850-1900,287.50
IPSL-CM5A-LR,r1i1p1,rcp60,global_mean,Amon,tas,1850-1900,285.24
IPSL-CM5A-MR,r1i1p1,rcp60,global_mean,Amon,tas,1850-1900,286.19
MIROC5,r1i1p1,rcp60,global_mean,Amon,tas,1850-1900,287.69
MRI-CGCM3,r1i1p1,rcp60,global_mean,Amon,tas,1850-1900,286.72
NorESM1-ME,r1i1p1,rcp60,global_mean,Amon,tas,1850-1900,285.90
NorESM1-M,r1i1p1,rcp60,global_mean,Amon,tas,1850-1900,286.28
bcc-csm1-1-m,r1i1p1,rcp60,global_mean,Amon,tas,1850-1900,287.51
bcc-csm1-1,r1i1p1,rcp60,global_mean,Amon,tas,1850-1900,286.93
ACCESS1-0,r1i1p1,rcp85,global_mean,Amon,tas,1850-1900,286.78
ACCESS1-3,r1i1p1,rcp85,global_mean,Amon,tas,1850-1900,287.13
BNU-ESM,r1i1p1,rcp85,global_mean,Amon,tas,1850-1900,286.06
CCSM4,r1i1p1,rcp85,global_mean,Amon,tas,1850-1900,286.44
CESM1-BGC,r1i1p1,rcp85,global_mean,Amon,tas,1850-1900,286.59
CESM1-CAM5,r1i1p1,rcp85,global_mean,Amon,tas,1850-1900,286.23
CMCC-CESM,r1i1p1,rcp85,global_mean,Amon,tas,1850-1900,286.90
CMCC-CMS,r1i1p1,rcp85,global_mean,Amon,tas,1850-1900,287.00
CMCC-CM,r1i1p1,rcp85,global_mean,Amon,tas,1850-1900,286.53
CNRM-CM5,r1i1p1,rcp85,global_mean,Amon,tas,1850-1900,286.47
CSIRO-Mk3-6-0,r1i1p1,rcp85,global_mean,Amon,tas,1850-1900,285.85
CanESM2,r1i1p1,rcp85,global_mean,Amon,tas,1850-1900,286.81
EC-EARTH,r1i1p1,rcp85,global_mean,Amon,tas,1850-1900,285.62
FGOALS-g2,r1i1p1,rcp85,global_mean,Amon,tas,1850-1900,285.34
FGOALS-s2,r3i1p1,rcp85,global_mean,Amon,tas,1850-1900,286.94
FIO-ESM,r1i1p1,rcp85,global_mean,Amon,tas,1850-1900,286.44
GISS-E2-H-CC,r1i1p1,rcp85,global_mean,Amon,tas,1850-1900,287.39
GISS-E2-H,r1i1p1,rcp85,global_mean,Amon,tas,1850-1900,287.90
GISS-E2-R-CC,r1i1p1,rcp85,global_mean,Amon,tas,1850-1900,287.44
GISS-E2-R,r1i1p1,rcp85,global_mean,Amon,tas,1850-1900,287.50
IPSL-CM5A-LR,r1i1p1,rcp85,global_mean,Amon,tas,1850-1900,285.24
IPSL-CM5A-MR,r1i1p1,rcp85,global_mean,Amon,tas,1850-1900,286.19
IPSL-CM5B-LR,r1i1p1,rcp85,global_mean,Amon,tas,1850-1900,285.94
MIROC5,r1i1p1,rcp85,global_mean,Amon,tas,1850-1900,287.69
MPI-ESM-LR,r1i1p1,rcp85,global_mean,Amon,tas,1850-1900,286.56
MPI-ESM-MR,r1i1p1,rcp85,global_mean,Amon,tas,1850-1900,286.78
MRI-CGCM3,r1i1p1,rcp85,global_mean,Amon,tas,1850-1900,286.72
