model,ens,exp,postprocess,table,varn,period,mean
BNU-ESM,r1i1p1,rcp26,global_mean,Amon,tas,2021-2040,2.15
CCSM4,r1i1p1,rcp26,global_mean,Amon,tas,2021-2040,1.76
CCSM4,r2i1p1,rcp26,global_mean,Amon,tas,2021-2040,1.75
CCSM4,r3i1p1,rcp26,global_mean,Amon,tas,2021-2040,1.70
CCSM4,r4i1p1,rcp26,global_mean,Amon,tas,2021-2040,1.74
CCSM4,r5i1p1,rcp26,global_mean,Amon,tas,2021-2040,1.68
CCSM4,r6i1p1,rcp26,global_mean,Amon,tas,2021-2040,1.74
CESM1-CAM5,r1i1p1,rcp26,global_mean,Amon,tas,2021-2040,1.53
CESM1-CAM5,r2i1p1,rcp26,global_mean,Amon,tas,2021-2040,1.42
CESM1-CAM5,r3i1p1,rcp26,global_mean,Amon,tas,2021-2040,1.49
CNRM-CM5,r1i1p1,rcp26,global_mean,Amon,tas,2021-2040,1.31
CSIRO-Mk3-6-0,r1i1p1,rcp26,global_mean,Amon,tas,2021-2040,1.42
CSIRO-Mk3-6-0,r2i1p1,rcp26,global_mean,Amon,tas,2021-2040,1.32
CSIRO-Mk3-6-0,r3i1p1,rcp26,global_mean,Amon,tas,2021-2040,1.47
CSIRO-Mk3-6-0,r4i1p1,rcp26,global_mean,Amon,tas,2021-2040,1.34
CSIRO-Mk3-6-0,r5i1p1,rcp26,global_mean,Amon,tas,2021-2040,1.45
CSIRO-Mk3-6-0,r6i1p1,rcp26,global_mean,Amon,tas,2021-2040,1.44
CSIRO-Mk3-6-0,r7i1p1,rcp26,global_mean,Amon,tas,2021-2040,1.37
CSIRO-Mk3-6-0,r8i1p1,rcp26,global_mean,Amon,tas,2021-2040,1.28
CSIRO-Mk3-6-0,r9i1p1,rcp26,global_mean,Amon,tas,2021-2040,1.33
CSIRO-Mk3-6-0,r10i1p1,rcp26,global_mean,Amon,tas,2021-2040,1.43
CanESM2,r1i1p1,rcp26,global_mean,Amon,tas,2021-2040,1.95
CanESM2,r2i1p1,rcp26,global_mean,Amon,tas,2021-2040,2.00
CanESM2,r3i1p1,rcp26,global_mean,Amon,tas,2021-2040,1.99
CanESM2,r4i1p1,rcp26,global_mean,Amon,tas,2021-2040,2.04
CanESM2,r5i1p1,rcp26,global_mean,Amon,tas,2021-2040,1.98
EC-EARTH,r8i1p1,rcp26,global_mean,Amon,tas,2021-2040,1.60
EC-EARTH,r12i1p1,rcp26,global_mean,Amon,tas,2021-2040,1.59
FGOALS-g2,r1i1p1,rcp26,global_mean,Amon,tas,2021-2040,1.14
FIO-ESM,r1i1p1,rcp26,global_mean,Amon,tas,2021-2040,1.38
FIO-ESM,r2i1p1,rcp26,global_mean,Amon,tas,2021-2040,1.38
FIO-ESM,r3i1p1,rcp26,global_mean,Amon,tas,2021-2040,1.37
GFDL-CM3,r1i1p1,rcp26,global_mean,Amon,tas,2021-2040,1.65
GFDL-ESM2G,r1i1p1,rcp26,global_mean,Amon,tas,2021-2040,1.16
GFDL-ESM2M,r1i1p1,rcp26,global_mean,Amon,tas,2021-2040,1.25
GISS-E2-H,r1i1p1,rcp26,global_mean,Amon,tas,2021-2040,1.53
GISS-E2-H,r1i1p2,rcp26,global_mean,Amon,tas,2021-2040,1.39
GISS-E2-H,r1i1p3,rcp26,global_mean,Amon,tas,2021-2040,1.62
GISS-E2-R,r1i1p1,rcp26,global_mean,Amon,tas,2021-2040,1.19
GISS-E2-R,r1i1p2,rcp26,global_mean,Amon,tas,2021-2040,1.03
GISS-E2-R,r1i1p3,rcp26,global_mean,Amon,tas,2021-2040,1.30
HadGEM2-AO,r1i1p1,rcp26,global_mean,Amon,tas,2021-2040,1.19
HadGEM2-ES,r1i1p1,rcp26,global_mean,Amon,tas,2021-2040,1.70
HadGEM2-ES,r2i1p1,rcp26,global_mean,Amon,tas,2021-2040,1.62
HadGEM2-ES,r3i1p1,rcp26,global_mean,Amon,tas,2021-2040,1.57
HadGEM2-ES,r4i1p1,rcp26,global_mean,Amon,tas,2021-2040,1.60
IPSL-CM5A-LR,r1i1p1,rcp26,global_mean,Amon,tas,2021-2040,1.99
IPSL-CM5A-LR,r2i1p1,rcp26,global_mean,Amon,tas,2021-2040,1.96
IPSL-CM5A-LR,r3i1p1,rcp26,global_mean,Amon,tas,2021-2040,1.95
IPSL-CM5A-LR,r4i1p1,rcp26,global_mean,Amon,tas,2021-2040,2.09
IPSL-CM5A-MR,r1i1p1,rcp26,global_mean,Amon,tas,2021-2040,1.73
MIROC5,r1i1p1,rcp26,global_mean,Amon,tas,2021-2040,1.22
MIROC5,r2i1p1,rcp26,global_mean,Amon,tas,2021-2040,1.26
MIROC5,r3i1p1,rcp26,global_mean,Amon,tas,2021-2040,1.35
MPI-ESM-LR,r1i1p1,rcp26,global_mean,Amon,tas,2021-2040,1.64
MPI-ESM-LR,r2i1p1,rcp26,global_mean,Amon,tas,2021-2040,1.73
MPI-ESM-LR,r3i1p1,rcp26,global_mean,Amon,tas,2021-2040,1.62
MPI-ESM-MR,r1i1p1,rcp26,global_mean,Amon,tas,2021-2040,1.59
MRI-CGCM3,r1i1p1,rcp26,global_mean,Amon,tas,2021-2040,0.98
NorESM1-ME,r1i1p1,rcp26,global_mean,Amon,tas,2021-2040,1.27
NorESM1-M,r1i1p1,rcp26,global_mean,Amon,tas,2021-2040,1.25
