model,ens,exp,postprocess,table,grid,varn,period,mean
CAMS-CSM1-0,r1i1p1f1,ssp119,global_mean,Amon,gn,tas,1850-1900,287.01
CAMS-CSM1-0,r2i1p1f1,ssp119,global_mean,Amon,gn,tas,1850-1900,286.99
CNRM-ESM2-1,r1i1p1f2,ssp119,global_mean,Amon,gr,tas,1850-1900,286.81
CNRM-ESM2-1,r2i1p1f2,ssp119,global_mean,Amon,gr,tas,1850-1900,286.77
CNRM-ESM2-1,r3i1p1f2,ssp119,global_mean,Amon,gr,tas,1850-1900,286.67
CNRM-ESM2-1,r4i1p1f2,ssp119,global_mean,Amon,gr,tas,1850-1900,286.68
CNRM-ESM2-1,r5i1p1f2,ssp119,global_mean,Amon,gr,tas,1850-1900,286.82
CanESM5,r1i1p1f1,ssp119,global_mean,Amon,gn,tas,1850-1900,286.72
CanESM5,r1i1p2f1,ssp119,global_mean,Amon,gn,tas,1850-1900,286.49
CanESM5,r2i1p1f1,ssp119,global_mean,Amon,gn,tas,1850-1900,286.68
CanESM5,r2i1p2f1,ssp119,global_mean,Amon,gn,tas,1850-1900,286.51
CanESM5,r3i1p1f1,ssp119,global_mean,Amon,gn,tas,1850-1900,286.67
CanESM5,r3i1p2f1,ssp119,global_mean,Amon,gn,tas,1850-1900,286.53
CanESM5,r4i1p1f1,ssp119,global_mean,Amon,gn,tas,1850-1900,286.65
CanESM5,r4i1p2f1,ssp119,global_mean,Amon,gn,tas,1850-1900,286.55
CanESM5,r5i1p1f1,ssp119,global_mean,Amon,gn,tas,1850-1900,286.71
CanESM5,r5i1p2f1,ssp119,global_mean,Amon,gn,tas,1850-1900,286.53
CanESM5,r6i1p1f1,ssp119,global_mean,Amon,gn,tas,1850-1900,286.61
CanESM5,r6i1p2f1,ssp119,global_mean,Amon,gn,tas,1850-1900,286.50
CanESM5,r7i1p1f1,ssp119,global_mean,Amon,gn,tas,1850-1900,286.68
CanESM5,r7i1p2f1,ssp119,global_mean,Amon,gn,tas,1850-1900,286.44
CanESM5,r8i1p1f1,ssp119,global_mean,Amon,gn,tas,1850-1900,286.69
CanESM5,r8i1p2f1,ssp119,global_mean,Amon,gn,tas,1850-1900,286.52
CanESM5,r9i1p1f1,ssp119,global_mean,Amon,gn,tas,1850-1900,286.63
CanESM5,r9i1p2f1,ssp119,global_mean,Amon,gn,tas,1850-1900,286.51
CanESM5,r10i1p1f1,ssp119,global_mean,Amon,gn,tas,1850-1900,286.67
CanESM5,r10i1p2f1,ssp119,global_mean,Amon,gn,tas,1850-1900,286.51
CanESM5,r11i1p1f1,ssp119,global_mean,Amon,gn,tas,1850-1900,286.61
CanESM5,r11i1p2f1,ssp119,global_mean,Amon,gn,tas,1850-1900,286.52
CanESM5,r12i1p1f1,ssp119,global_mean,Amon,gn,tas,1850-1900,286.63
CanESM5,r12i1p2f1,ssp119,global_mean,Amon,gn,tas,1850-1900,286.56
CanESM5,r13i1p1f1,ssp119,global_mean,Amon,gn,tas,1850-1900,286.62
CanESM5,r13i1p2f1,ssp119,global_mean,Amon,gn,tas,1850-1900,286.49
CanESM5,r14i1p1f1,ssp119,global_mean,Amon,gn,tas,1850-1900,286.64
CanESM5,r14i1p2f1,ssp119,global_mean,Amon,gn,tas,1850-1900,286.46
CanESM5,r15i1p1f1,ssp119,global_mean,Amon,gn,tas,1850-1900,286.61
CanESM5,r15i1p2f1,ssp119,global_mean,Amon,gn,tas,1850-1900,286.53
CanESM5,r16i1p1f1,ssp119,global_mean,Amon,gn,tas,1850-1900,286.58
CanESM5,r16i1p2f1,ssp119,global_mean,Amon,gn,tas,1850-1900,286.45
CanESM5,r17i1p1f1,ssp119,global_mean,Amon,gn,tas,1850-1900,286.60
CanESM5,r17i1p2f1,ssp119,global_mean,Amon,gn,tas,1850-1900,286.47
CanESM5,r18i1p1f1,ssp119,global_mean,Amon,gn,tas,1850-1900,286.57
CanESM5,r18i1p2f1,ssp119,global_mean,Amon,gn,tas,1850-1900,286.47
CanESM5,r19i1p1f1,ssp119,global_mean,Amon,gn,tas,1850-1900,286.56
CanESM5,r19i1p2f1,ssp119,global_mean,Amon,gn,tas,1850-1900,286.44
CanESM5,r20i1p1f1,ssp119,global_mean,Amon,gn,tas,1850-1900,286.60
CanESM5,r20i1p2f1,ssp119,global_mean,Amon,gn,tas,1850-1900,286.43
CanESM5,r21i1p1f1,ssp119,global_mean,Amon,gn,tas,1850-1900,286.52
CanESM5,r21i1p2f1,ssp119,global_mean,Amon,gn,tas,1850-1900,286.39
CanESM5,r22i1p1f1,ssp119,global_mean,Amon,gn,tas,1850-1900,286.52
CanESM5,r22i1p2f1,ssp119,global_mean,Amon,gn,tas,1850-1900,286.47
CanESM5,r23i1p1f1,ssp119,global_mean,Amon,gn,tas,1850-1900,286.56
CanESM5,r23i1p2f1,ssp119,global_mean,Amon,gn,tas,1850-1900,286.44
CanESM5,r24i1p1f1,ssp119,global_mean,Amon,gn,tas,1850-1900,286.58
CanESM5,r24i1p2f1,ssp119,global_mean,Amon,gn,tas,1850-1900,286.45
CanESM5,r25i1p1f1,ssp119,global_mean,Amon,gn,tas,1850-1900,286.61
CanESM5,r25i1p2f1,ssp119,global_mean,Amon,gn,tas,1850-1900,286.44
EC-Earth3-Veg-LR,r1i1p1f1,ssp119,global_mean,Amon,gr,tas,1850-1900,286.68
EC-Earth3-Veg-LR,r2i1p1f1,ssp119,global_mean,Amon,gr,tas,1850-1900,286.53
