model,ens,exp,postprocess,table,grid,varn,period,mean
CAMS-CSM1-0,r1i1p1f1,ssp119,global_mean,Amon,gn,tas,1850-1900,287.01
CNRM-ESM2-1,r1i1p1f2,ssp119,global_mean,Amon,gr,tas,1850-1900,286.81
CanESM5,r1i1p1f1,ssp119,global_mean,Amon,gn,tas,1850-1900,286.72
EC-Earth3-Veg-LR,r1i1p1f1,ssp119,global_mean,Amon,gr,tas,1850-1900,286.68
EC-Earth3-Veg,r1i1p1f1,ssp119,global_mean,Amon,gr,tas,1850-1900,286.73
EC-Earth3,r4i1p1f1,ssp119,global_mean,Amon,gr,tas,1850-1900,286.90
FGOALS-g3,r1i1p1f1,ssp119,global_mean,Amon,gn,tas,1850-1900,287.16
GFDL-ESM4,r1i1p1f1,ssp119,global_mean,Amon,gr1,tas,1850-1900,286.56
GISS-E2-1-G,r1i1p1f2,ssp119,global_mean,Amon,gn,tas,1850-1900,286.81
IPSL-CM6A-LR,r1i1p1f1,ssp119,global_mean,Amon,gr,tas,1850-1900,285.97
MIROC6,r1i1p1f1,ssp119,global_mean,Amon,gn,tas,1850-1900,288.41
MIROC-ES2L,r1i1p1f2,ssp119,global_mean,Amon,gn,tas,1850-1900,288.18
MRI-ESM2-0,r1i1p1f1,ssp119,global_mean,Amon,gn,tas,1850-1900,286.88
UKESM1-0-LL,r1i1p1f2,ssp119,global_mean,Amon,gn,tas,1850-1900,286.54
ACCESS-CM2,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,1850-1900,286.91
ACCESS-ESM1-5,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,1850-1900,287.67
AWI-CM-1-1-MR,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,1850-1900,286.86
BCC-CSM2-MR,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,1850-1900,287.89
CAMS-CSM1-0,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,1850-1900,287.01
CESM2-WACCM,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,1850-1900,286.94
CESM2,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,1850-1900,287.17
CIESM,r1i1p1f1,ssp126,global_mean,Amon,gr,tas,1850-1900,287.39
CMCC-CM2-SR5,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,1850-1900,287.20
CNRM-CM6-1-HR,r1i1p1f2,ssp126,global_mean,Amon,gr,tas,1850-1900,285.52
CNRM-CM6-1,r1i1p1f2,ssp126,global_mean,Amon,gr,tas,1850-1900,286.01
CNRM-ESM2-1,r1i1p1f2,ssp126,global_mean,Amon,gr,tas,1850-1900,286.81
CanESM5-CanOE,r1i1p2f1,ssp126,global_mean,Amon,gn,tas,1850-1900,286.49
CanESM5,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,1850-1900,286.72
EC-Earth3-Veg-LR,r1i1p1f1,ssp126,global_mean,Amon,gr,tas,1850-1900,286.68
EC-Earth3-Veg,r1i1p1f1,ssp126,global_mean,Amon,gr,tas,1850-1900,286.73
