FID_ROMS_r,eta_rho,xi_rho,lat_DD,lon_DD,FID_polygo,AREA,PERIMETER,EBS_BLOCKS,EBS_BLOC_1,EBSGRID_AL,EBSGRID__1,STATION_GR,STATION__1,STATION_ID
11174,62.000000,73.000000,54.508390,-166.220693,587,1387400000.00000000000,149036.00000000000,587,586,587,668,565,546,
10811,60.000000,74.000000,54.510720,-165.823105,588,1351060000.00000000000,147041.00000000000,588,587,588,669,566,547,Z-04
10085,56.000000,76.000000,54.511680,-165.027858,589,1387460000.00000000000,149014.00000000000,589,588,589,670,567,548,Z-05
10448,58.000000,75.000000,54.511817,-165.425486,589,1387460000.00000000000,149014.00000000000,589,588,589,670,567,548,Z-05
11356,63.000000,73.000000,54.553274,-166.380900,587,1387400000.00000000000,149036.00000000000,587,586,587,668,565,546,
10993,61.000000,74.000000,54.556100,-165.982906,588,1351060000.00000000000,147041.00000000000,588,587,588,669,566,547,Z-04
10630,59.000000,75.000000,54.557692,-165.584872,588,1351060000.00000000000,147041.00000000000,588,587,588,669,566,547,Z-04
10267,57.000000,76.000000,54.558049,-165.186819,589,1387460000.00000000000,149014.00000000000,589,588,589,670,567,548,Z-05
11538,64.000000,73.000000,54.597955,-166.541441,587,1387400000.00000000000,149036.00000000000,587,586,587,668,565,546,
11175,62.000000,74.000000,54.601278,-166.143043,587,1387400000.00000000000,149036.00000000000,587,586,587,668,565,546,
10812,60.000000,75.000000,54.603366,-165.744596,588,1351060000.00000000000,147041.00000000000,588,587,588,669,566,547,Z-04
10086,56.000000,77.000000,54.603833,-164.947642,589,1387460000.00000000000,149014.00000000000,589,588,589,670,567,548,Z-05
10449,58.000000,76.000000,54.604217,-165.346121,589,1387460000.00000000000,149014.00000000000,589,588,589,670,567,548,Z-05
11357,63.000000,74.000000,54.646253,-166.303515,587,1387400000.00000000000,149036.00000000000,587,586,587,668,565,546,
10994,61.000000,75.000000,54.648838,-165.904658,588,1351060000.00000000000,147041.00000000000,588,587,588,669,566,547,Z-04
10631,59.000000,76.000000,54.650185,-165.505765,588,1351060000.00000000000,147041.00000000000,588,587,588,669,566,547,Z-04
10268,57.000000,77.000000,54.650295,-165.106857,589,1387460000.00000000000,149014.00000000000,589,588,589,670,567,548,Z-05
11539,64.000000,74.000000,54.691025,-166.464322,587,1387400000.00000000000,149036.00000000000,587,586,587,668,565,546,
11176,62.000000,75.000000,54.694107,-166.065058,587,1387400000.00000000000,149036.00000000000,587,586,587,668,565,546,
10813,60.000000,76.000000,54.695951,-165.665748,588,1351060000.00000000000,147041.00000000000,588,587,588,669,566,547,Z-04
10450,58.000000,77.000000,54.696557,-165.266416,589,1387460000.00000000000,149014.00000000000,589,588,589,670,567,548,Z-05
11358,63.000000,75.000000,54.739174,-166.225796,587,1387400000.00000000000,149036.00000000000,587,586,587,668,565,546,
10995,61.000000,76.000000,54.741515,-165.826072,588,1351060000.00000000000,147041.00000000000,588,587,588,669,566,547,Z-04
10269,57.000000,78.000000,54.742480,-165.026553,589,1387460000.00000000000,149014.00000000000,589,588,589,670,567,548,Z-05
10632,59.000000,77.000000,54.742618,-165.426317,589,1387460000.00000000000,149014.00000000000,589,588,589,670,567,548,Z-05
11540,64.000000,75.000000,54.784036,-166.386870,587,1387400000.00000000000,149036.00000000000,587,586,587,668,565,546,
11177,62.000000,76.000000,54.786877,-165.986736,588,1351060000.00000000000,147041.00000000000,588,587,588,669,566,547,Z-04
10814,60.000000,77.000000,54.788476,-165.586561,588,1351060000.00000000000,147041.00000000000,588,587,588,669,566,547,Z-04
10451,58.000000,78.000000,54.788835,-165.186367,589,1387460000.00000000000,149014.00000000000,589,588,589,670,567,548,Z-05
11722,65.000000,75.000000,54.828695,-166.548280,587,1387400000.00000000000,149036.00000000000,587,586,587,668,565,546,
11359,63.000000,76.000000,54.832035,-166.147739,583,1443590000.00000000000,151926.00000000000,583,582,583,664,561,542,A-03
9907,55.000000,80.000000,54.832974,-164.545297,586,1380640000.00000000000,148654.00000000000,586,584,585,667,564,545,A-06
10996,61.000000,77.000000,54.834133,-165.747147,584,1381180000.00000000000,148872.00000000000,584,583,584,665,562,543,A-04
10270,57.000000,79.000000,54.834602,-164.945902,585,1443700000.00000000000,151900.00000000000,585,585,586,666,563,544,A-05
10633,59.000000,78.000000,54.834989,-165.346527,585,1443700000.00000000000,151900.00000000000,585,585,586,666,563,544,A-05
12267,68.000000,74.000000,54.868064,-167.110890,581,1367770000.00000000000,147979.00000000000,581,581,582,663,560,541,A-02
11904,66.000000,75.000000,54.873148,-166.710027,581,1367770000.00000000000,147979.00000000000,581,581,582,663,560,541,A-02
11541,64.000000,76.000000,54.876989,-166.309081,583,1443590000.00000000000,151926.00000000000,583,582,583,664,561,542,A-03
9726,54.000000,81.000000,54.877542,-164.303911,586,1380640000.00000000000,148654.00000000000,586,584,585,667,564,545,A-06
11178,62.000000,77.000000,54.879586,-165.908074,584,1381180000.00000000000,148872.00000000000,584,583,584,665,562,543,A-04
10089,56.000000,80.000000,54.879918,-164.704926,586,1380640000.00000000000,148654.00000000000,586,584,585,667,564,545,A-06
10815,60.000000,78.000000,54.880941,-165.507031,584,1381180000.00000000000,148872.00000000000,584,583,584,665,562,543,A-04
10452,58.000000,79.000000,54.881051,-165.105974,585,1443700000.00000000000,151900.00000000000,585,585,586,666,563,544,A-05
12086,67.000000,75.000000,54.917396,-166.872109,581,1367770000.00000000000,147979.00000000000,581,581,582,663,560,541,A-02
11723,65.000000,76.000000,54.921738,-166.470761,583,1443590000.00000000000,151926.00000000000,583,582,583,664,561,542,A-03
9908,55.000000,81.000000,54.924781,-164.463441,586,1380640000.00000000000,148654.00000000000,586,584,585,667,564,545,A-06
11360,63.000000,77.000000,54.924836,-166.069343,583,1443590000.00000000000,151926.00000000000,583,582,583,664,561,542,A-03
10271,57.000000,80.000000,54.926662,-164.864905,586,1380640000.00000000000,148654.00000000000,586,584,585,667,564,545,A-06
10997,61.000000,78.000000,54.926690,-165.667879,584,1381180000.00000000000,148872.00000000000,584,583,584,665,562,543,A-04
10634,59.000000,79.000000,54.927298,-165.266392,585,1443700000.00000000000,151900.00000000000,585,585,586,666,563,544,A-05
12268,68.000000,75.000000,54.961437,-167.034526,581,1367770000.00000000000,147979.00000000000,581,581,582,663,560,541,A-02
11905,66.000000,76.000000,54.966282,-166.632779,581,1367770000.00000000000,147979.00000000000,581,581,582,663,560,541,A-02
11542,64.000000,77.000000,54.969882,-166.230953,583,1443590000.00000000000,151926.00000000000,583,582,583,664,561,542,A-03
10090,56.000000,81.000000,54.971820,-164.623324,586,1380640000.00000000000,148654.00000000000,586,584,585,667,564,545,A-06
11179,62.000000,78.000000,54.972235,-165.829071,584,1381180000.00000000000,148872.00000000000,584,583,584,665,562,543,A-04
10453,58.000000,80.000000,54.973205,-165.025233,585,1443700000.00000000000,151900.00000000000,585,585,586,666,563,544,A-05
10816,60.000000,79.000000,54.973343,-165.427157,585,1443700000.00000000000,151900.00000000000,585,585,586,666,563,544,A-05
12450,69.000000,75.000000,55.005272,-167.197278,581,1367770000.00000000000,147979.00000000000,581,581,582,663,560,541,A-02
12087,67.000000,76.000000,55.010621,-166.795135,581,1367770000.00000000000,147979.00000000000,581,581,582,663,560,541,A-02
11724,65.000000,77.000000,55.014722,-166.392904,583,1443590000.00000000000,151926.00000000000,583,582,583,664,561,542,A-03
9909,55.000000,82.000000,55.016524,-164.381234,586,1380640000.00000000000,148654.00000000000,586,584,585,667,564,545,A-06
11361,63.000000,78.000000,55.017577,-165.990607,584,1381180000.00000000000,148872.00000000000,584,583,584,665,562,543,A-04
10272,57.000000,81.000000,55.018659,-164.783558,586,1380640000.00000000000,148654.00000000000,586,584,585,667,564,545,A-06
10998,61.000000,79.000000,55.019185,-165.588268,584,1381180000.00000000000,148872.00000000000,584,583,584,665,562,543,A-04
10635,59.000000,80.000000,55.019545,-165.185910,585,1443700000.00000000000,151900.00000000000,585,585,586,666,563,544,A-05
12269,68.000000,76.000000,55.054752,-166.957828,581,1367770000.00000000000,147979.00000000000,581,581,582,663,560,541,A-02
