"HAULJOIN","REGION","STRATUM2","YEAR","MONTH","DAY","VESSEL","CRUISE","HAUL","GEAR_TEMP","SURFACE_TEMP","STATIONID2","RLAT","RLONG","STRATUM","STATIONID","RLAT_RACEBASE","RLONG_RACEBASE","CRUISE_TYPE","ECOPATH_PP"
11019631,"BS",62,2008,7,3,94,200801,100,3.4,5.8,"62-11",60.35,-178.79,62,"62-11",60.34864,-178.7941,"Race_Groundfish","OuterNW"
11019633,"BS",61,2008,7,5,94,200801,110,3.8,5.6,"61-21",60.09,-179.07,61,"61-21",60.09017,-179.0703,"Race_Groundfish","OuterNW"
11019634,"BS",62,2008,7,5,94,200801,111,3.6,6.2,"62-09",60.06,-179.15,62,"62-09",60.05998,-179.1488,"Race_Groundfish","OuterNW"
11019658,"BS",32,2008,7,26,94,200801,162,3.7,8.4,"32-03",56.77,-173.42,32,"32-03",56.77416,-173.4158,"Race_Groundfish","MiddleSE"
11023841,"BS",10,2008,6,6,88,200801,14,1.8,1.9,"E-11",56.33,-161.64,10,"E-11",56.33262,-161.63651,"Race_Groundfish","InnerSE"
11023842,"BS",31,2008,6,7,88,200801,15,0.7,1.4,"F-11",56.67,-161.6,31,"F-11",56.66586,-161.5979,"Race_Groundfish","MiddleSE"
11029357,"BS",31,2008,6,11,88,200801,36,0.7,4.1,"E-07",56.34,-163.97,31,"E-07",56.33583,-163.96899,"Race_Groundfish","MiddleSE"
11029360,"BS",10,2008,6,14,88,200801,50,3.2,3.3,"M-07",59.02,-164.01,10,"M-07",59.02318,-164.00681,"Race_Groundfish","InnerSE"
11022198,"BS",10,2008,6,14,88,200801,53,1.7,2.1,"J-07",58.01,-164.03,10,"J-07",58.01202,-164.02721,"Race_Groundfish","InnerSE"
11019842,"BS",50,2008,6,16,88,200801,61,3.4,5.8,"B-05",55.33,-165.18,50,"B-05",55.33485,-165.1754,"Race_Groundfish","OuterSE"
11019847,"BS",50,2008,6,20,88,200801,67,3,5.9,"D-02",56.05,-166.98,50,"D-02",56.05137,-166.9753,"Race_Groundfish","OuterSE"
11022203,"BS",20,2008,6,24,88,200801,89,0.5,3.2,"L-18",58.68,-168.49,20,"L-18",58.67697,-168.4948,"Race_Groundfish","InnerNW"
11022219,"BS",41,2008,6,30,88,200801,113,-1.5,4.8,"P-21",59.98,-170.63,41,"P-21",59.98323,-170.631,"Race_Groundfish","MiddleNW"
11019853,"BS",32,2008,7,5,88,200801,135,3,4.4,"F-20",56.66,-169.49,32,"F-20",56.65863,-169.4875,"Race_Groundfish","MiddleSE"
11022231,"BS",31,2008,7,11,88,200801,149,2.3,6.9,"F-01",56.68,-167.67,31,"F-01",56.68252,-167.67039,"Race_Groundfish","MiddleSE"
11019858,"BS",50,2008,7,11,88,200801,150,3.1,7.5,"E-01",56.35,-167.66,50,"E-01",56.34586,-167.65559,"Race_Groundfish","OuterSE"
11022232,"BS",50,2008,7,11,88,200801,151,3.2,7.6,"E-18",56.33,-168.21,50,"E-18",56.33395,-168.2119,"Race_Groundfish","OuterSE"
