ID,var,plot_nm,def,notes,
1,BottomTemp,Bottom temperature,Survey replicated bottom temperature (deg. C),Bottom temperature at each survey location averaged across stations,
2,Eup_avg,Avg. Euphausiids,Survey replicated average euphausiid concentration (#/m2),"""EupS"" + ""EupO"" (time-averaged Offshore euphausiid concentration), averaged for the water column (depth corrected) at each station, and then averaged across stations; where ""S"" is for shelf and ""O"" is for Offshore",
3,Eup_tot,Total Euphausiids,Survey replicated total euphausiids captured in simulated survey (#),"""EupS"" + ""EupO"" (time-averaged Offshore euphausiid concentration), total for the water column at each station, and then totaled across stations; where ""S"" is for shelf and ""O"" is for Offshore",
4,Nca_avg,Avg. Neocalanus,Survey replicated average Neocalanus (copepod) concentration (#/m2),"""NCaS"" + ""NCaO"" (time-averaged neocalanus spp. Concentration), averaged for the water column (depth corrected) at each station, and then averaged across stations",
5,Nca_tot,Total Neocalanus,Survey replicated total Neocalanus captured in simulated survey (#),"""NCaS"" + ""NCaO"" (time-averaged neocalanus spp. Concentration), total for the water column at each station, and then totaled across stations, where NCas  is the shelf produced time-averaged neocalanus spp. And NCaO is the offshore neocalauns",
6,Cop_avg,Avg. Copepods,Survey replicated avgerage small coastal copepod concentration (#/m2),"""Cop"" (time-averaged small coastal copepod concentration), averaged for the water column (depth corrected) at each station, and then averaged across stations",
7,Cop_tot,Total Copepods,Survey replicated total small coastal copepods captured in simulated survey (#),"""Cop"" (time-averaged small coastal copepod concentration), totaled for the water column at each station, and then summed across stations",
8,surf_sal_tmp,Salinity (surface),Survey replicated surface salinity,"based on ""salt"" (time-averaged salinity), queried just for the top layer but corrected for area",
9,Btm_sal_tmp,Salinity (bottom),Survey replicated mean bottom temperature,"based on ""temp"" (time-averaged potential temperature) queried just for the bottom layer but corrected for area",
10,SST_tmp,Sea surface temperature,Survey replicated mean sea surface temperature,"based on ""temp"" (time-averaged potential temperature) queried just for the bottom layer but corrected for area",
11,IceNH4_tmp,Ice NH4,Survey replicated mean Ice Ammonium concentration,"""IceNH4"" (time-averaged Ice Ammonium concentration), from ice and corrected for area",
