#Covars (covariate phase for each covs - do not alter this line)
# Winter_pH_depthavg # Spring_vNorth_surface5m # Spring_uEast_surface5m # Winter_temp_surface5m # Spring_temp_surface5m # Summer_temp_surface5m # Fall_temp_surface5m # Winter_temp_bottom5m # Spring_temp_bottom5m # Summer_temp_bottom5m # Fall_temp_bottom5m # annual_temp_surface5m # annual_temp_bottom5m # Winter_NE_winds # Spring_NE_winds # Summer_NE_winds # Fall_NE_winds # annual_NE_winds # Summer_fracbelow1 # Summer_fracbelow2 # Spring_PhL_integrated # Spring_PhS_integrated # Winter_oxygen_bottom5m # Spring_oxygen_bottom5m # Summer_oxygen_bottom5m # Fall_oxygen_bottom5m # Winter_Cop_integrated # Spring_Cop_integrated # Summer_Cop_integrated # Fall_Cop_integrated # Winter_EupS_integrated # Spring_EupS_integrated # Summer_EupS_integrated # Fall_EupS_integrated # Winter_NCaO_integrated # Spring_NCaO_integrated # Summer_NCaO_integrated # Fall_NCaO_integrated # Winter_largeZoop_integrated # Spring_largeZoop_integrated # Summer_largeZoop_integrated # Fall_largeZoop_integrated
#Models (do not alter this line) 
#  mnhind #  cesm_ssp126 #  gfdl_ssp126 #  miroc_ssp126 #  cesm_ssp585 #  gfdl_ssp585 #  miroc_ssp585
#nEatcovs_fut
1
#Eat_covs_fut (1, nEatcovs_fut)
3
#num_runs : number of future temperature simulations + mnhind 
7
#nyrs_fut : number years for the projection data
77
#fut_yrs : projection years for covariates vector(1,nyrs_fut)
2023 2024 2025 2026 2027 2028 2029 2030 2031 2032 2033 2034 2035 2036 2037 2038 2039 2040 2041 2042 2043 2044 2045 2046 2047 2048 2049 2050 2051 2052 2053 2054 2055 2056 2057 2058 2059 2060 2061 2062 2063 2064 2065 2066 2067 2068 2069 2070 2071 2072 2073 2074 2075 2076 2077 2078 2079 2080 2081 2082 2083 2084 2085 2086 2087 2088 2089 2090 2091 2092 2093 2094 2095 2096 2097 2098 2099
#ncov_fut : number of covariates 
42
###########################################################
#  | mn_Hind
#  | cesm_ssp126
#  | gfdl_ssp126
#  | miroc_ssp126
#  | cesm_ssp585
#  | gfdl_ssp585
#  | miroc_ssp585
###########################################################
#  Winter_pH_depthavg : Winter_pH_depthavg
1.047289 1.047289 1.047289 1.047289 1.047289 1.047289 1.047289 1.047289 1.047289 1.047289 1.047289 1.047289 1.047289 1.047289 1.047289 1.047289 1.047289 1.047289 1.047289 1.047289 1.047289 1.047289 1.047289 1.047289 1.047289 1.047289 1.047289 1.047289 1.047289 1.047289 1.047289 1.047289 1.047289 1.047289 1.047289 1.047289 1.047289 1.047289 1.047289 1.047289 1.047289 1.047289 1.047289 1.047289 1.047289 1.047289 1.047289 1.047289 1.047289 1.047289 1.047289 1.047289 1.047289 1.047289 1.047289 1.047289 1.047289 1.047289 1.047289 1.047289 1.047289 1.047289 1.047289 1.047289 1.047289 1.047289 1.047289 1.047289 1.047289 1.047289 1.047289 1.047289 1.047289 1.047289 1.047289 1.047289 1.047289
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
