#Covars (covariate phase for each covs - do not alter this line)
# fracbelow2 # largeZoop_integrated # pH_depthavg # temp_bottom5m # temp_surface5m # fracbelow2_Winter # largeZoop_integrated_Winter # pH_depthavg_Winter # temp_bottom5m_Winter # temp_surface5m_Winter # fracbelow2_Spring # largeZoop_integrated_Spring # pH_depthavg_Spring # temp_bottom5m_Spring # temp_surface5m_Spring # fracbelow2_Summer # largeZoop_integrated_Summer # pH_depthavg_Summer # temp_bottom5m_Summer # temp_surface5m_Summer # fracbelow2_Fall # largeZoop_integrated_Fall # pH_depthavg_Fall # temp_bottom5m_Fall # temp_surface5m_Fall
#nspp2 : 

#nTyrs : number years for the zooplankton hindcast data 
41
#hind_years : years for covariates 
1979 1980 1981 1982 1983 1984 1985 1986 1987 1988 1989 1990 1991 1992 1993 1994 1995 1996 1997 1998 1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019
#ncov : number of covariates 
25
#nEatcovs : DEFUNCT 
1
#Eat_covs : DEFUNCT 
3
#COVAR_START ##############################################DO NOT REMOVE THIS LINE OR REC FIT WONT RUN!
#  fracbelow2 : fracbelow2
-2.155486 -1.098093 -1.459399 -0.922329 -1.019563 0.1666162 -0.375787 0.1276636 -0.9788379 -0.2089165 -0.9716587 -0.2371334 0.1318754 1.337371 -0.9448146 -0.07683265 1.235389 -0.6380528 0.9112501 -0.7694972 1.453085 0.3144234 -0.4117914 -0.2626761 -1.512923 -0.4529209 -0.5595913 0.8025825 1.537674 1.856312 1.856629 1.169946 0.8654993 2.672683 0.7682847 -1.321785 -0.7953527 -2.185766 -0.2449351 -2.191241 -2.004696
#  largeZoop_integrated : largeZoop_integrated
0.7329424 0.3824782 -0.5523964 0.8030748 1.455974 -0.3565731 -0.4632494 -0.39611 -0.02294147 -1.606341 -1.213405 -0.9642454 -1.309477 -1.269375 -0.6991081 -0.02062329 -1.592197 -0.5406145 0.6251385 0.9429271 -0.8472674 1.44278 0.3365685 0.3451924 -0.1292253 -0.1185544 -0.005831784 1.151704 2.543083 -0.1563031 1.090871 1.144047 -0.9619942 1.215489 2.065095 2.375578 -0.1932273 -0.776128 1.447777 1.508856 2.072697
#  pH_depthavg : pH_depthavg
1.011218 1.352123 0.776071 1.502707 0.8387848 0.9775036 1.317809 0.6034434 0.4982718 0.8018248 0.6536269 0.4300976 0.4323733 0.7645439 0.05226963 0.2092545 0.4724037 0.09267613 0.9478269 -0.3171451 -0.5000864 -0.8558847 -0.4686011 -0.480181 -0.7140858 -0.2685637 -0.5779748 -0.982883 -1.582085 -2.237287 -2.174843 -1.56399 -1.52216 -1.48881 -2.99844 -2.70056 -1.85555 -2.190483 -1.599196 -3.333421 -3.569531
#  temp_bottom5m : temp_bottom5m
2.676048 1.26303 1.625635 0.8195384 1.113044 -0.3407035 0.3186404 -0.1462951 1.349549 0.1104504 0.6691257 0.2630198 -0.2930615 -1.246754 1.148029 0.07051294 -1.106295 0.303318 -0.6984981 0.5689359 -1.424413 -0.5349001 0.4564712 0.1732928 1.410046 0.5202563 0.6737814 -0.6887427 -1.421317 -1.906083 -1.77717 -1.272442 -1.119559 -2.55113 -0.9951582 1.010705 1.08709 2.584695 0.07120711 1.573693 1.685103
#  temp_surface5m : temp_surface5m
