"","var","lognorm"
"1","Ben",TRUE
"2","DetBen",TRUE
"3","Hsbl",TRUE
"4","IceNH4",TRUE
"5","IceNO3",TRUE
"6","IcePhL",TRUE
"7","aice",TRUE
"8","hice",TRUE
"9","shflux",TRUE
"10","ssflux",TRUE
"11","Cop_integrated",TRUE
"12","Cop_surface5m",TRUE
"13","EupO_integrated",TRUE
"14","EupO_surface5m",TRUE
"15","EupS_integrated",TRUE
"16","EupS_surface5m",TRUE
"17","Fe_bottom5m",TRUE
"18","Fe_integrated",TRUE
"19","Fe_surface5m",TRUE
"20","Jel_integrated",TRUE
"21","Jel_surface5m",TRUE
"22","MZL_integrated",TRUE
"23","MZL_surface5m",TRUE
"24","NCaO_integrated",TRUE
"25","NCaO_surface5m",TRUE
"26","NCaS_integrated",TRUE
"27","NCaS_surface5m",TRUE
"28","NH4_bottom5m",TRUE
"29","NH4_integrated",TRUE
"30","NH4_surface5m",TRUE
"31","NO3_bottom5m",TRUE
"32","NO3_integrated",TRUE
"33","NO3_surface5m",TRUE
"34","PhL_integrated",TRUE
"35","PhL_surface5m",TRUE
"36","PhS_integrated",TRUE
"37","PhS_surface5m",TRUE
"38","prod_PhL_integrated",TRUE
"39","prod_PhS_integrated",TRUE
"40","salt_surface5m",TRUE
"41","temp_bottom5m",FALSE
"42","temp_integrated",FALSE
"43","temp_surface5m",FALSE
"44","uEast_bottom5m",FALSE
"45","uEast_surface5m",FALSE
"46","vNorth_bottom5m",FALSE
"47","vNorth_surface5m",FALSE
"48","alkalinity_bottom5m",TRUE
"49","alkalinity_integrated",TRUE
"50","alkalinity_surface5m",TRUE
"51","TIC_bottom5m",TRUE
"52","TIC_integrated",TRUE
"53","TIC_surface5m",TRUE
"54","oxygen_bottom5m",TRUE
"55","oxygen_integrated",TRUE
"56","oxygen_surface5m",TRUE
"57","pH_bottom5m",FALSE
"58","pH_integrated",FALSE
"59","pH_surface5m",FALSE
"60","calcite_bottom5m",TRUE
"61","calcite_integrated",TRUE
"62","calcite_surface5m",TRUE
"63","arag_bottom5m",TRUE
"64","arag_integrated",TRUE
"65","arag_surface5m",TRUE
"66","fracbelow0",TRUE
"67","fracbelow1",TRUE
"68","fracbelow2",TRUE
"69","temp_depthavg",FALSE
"70","NH4_depthavg",TRUE
"71","NO3_depthavg",TRUE
"72","TIC_depthavg",TRUE
"73","alkalinity_depthavg",TRUE
"74","oxygen_depthavg",TRUE
"75","pH_depthavg",FALSE
"76","calcite_depthavg",TRUE
"77","arag_depthavg",TRUE
"78","largeZoop_integrated",TRUE
